0,1,2,3,4,5,6,7,8,state
-9.98278,2.61759,2.46038,-0.268179,9.90328,-3.36347,10.7309,2.48629,-1.34938,0.0
-9.75577,2.46441,2.50279,-0.30868,9.86522,-3.44152,11.7072,1.83273,-1.10377,0.0
-10.3272,2.43953,3.4565,-0.382124,10.0542,-3.36603,10.6284,-0.699382,-1.71655,0.0
-10.9992,2.29537,3.71633,-0.818565,9.75937,-2.63728,8.55014,-3.22831,-1.95371,0.0
-10.8863,1.8399,3.79653,-1.3383,9.38787,-2.14211,8.64873,-3.52924,-2.37532,0.0
-10.5234,0.848548,3.57439,-1.52773,8.52322,-2.02657,10.0706,-2.54946,-2.55976,0.0
-10.1929,0.0481915,3.46658,-1.46573,7.4661,-2.40922,10.8713,-1.18982,-2.28986,0.0
-9.60758,-0.17879,4.05342,-1.05676,6.59694,-2.67004,11.0976,-0.0129268,-2.4492,0.0
-9.48164,-0.479489,4.47968,-0.758809,6.55678,-2.89683,11.1793,0.66907,-2.33683,0.0
-9.66283,-0.703317,4.74714,-0.826932,6.59649,-2.62715,13.6931,2.05834,-2.35826,0.0
-9.55131,-1.53785,4.86708,-0.727557,6.55511,-3.12859,14.3192,2.42685,-1.46657,0.0
-9.52021,-1.72918,4.71424,-0.882829,6.20752,-4.4855,12.4347,2.64932,0.635152,0.0
-9.372,-1.20087,4.52225,-0.882877,6.62145,-4.52557,12.3851,1.99598,1.64203,0.0
-9.32969,-0.177478,4.44245,-1.13153,7.0027,-3.9505,12.141,1.19387,2.41629,0.0
-9.24075,0.393375,4.71127,-1.4654,7.87135,-3.72705,11.8948,0.202244,3.15312,0.0
-9.05181,0.959998,4.59673,-1.63343,8.4704,-4.31285,11.8715,0.38847,3.6148,0.0
-9.09415,0.883405,4.48089,-1.75562,8.95818,-4.62642,11.7152,1.21725,4.53421,0.0
-9.1134,0.992191,3.90292,-1.84438,9.40714,-5.09414,11.5263,1.93077,5.64694,0.0
-9.12757,0.685658,3.55736,-1.98292,9.48604,-4.63225,11.162,2.15838,5.95051,0.0
-9.29584,0.531044,3.09351,-2.12956,9.52546,-4.44143,11.3469,2.57613,5.79545,0.0
-9.02784,0.83285,3.13499,-2.35656,9.30077,-4.36737,10.7384,3.03908,5.36185,0.0
-8.92276,0.602662,2.94491,-2.61998,8.8508,-4.2158,10.4194,3.73116,4.54391,0.0
-8.74184,0.599191,2.71671,-2.38334,8.40032,-3.90028,9.78111,5.02869,4.22059,0.0
-8.78362,-0.348327,2.79625,-1.9689,7.87109,-4.00721,9.12619,6.09223,4.67035,0.0
-8.34617,-1.30266,2.53661,-1.78624,7.04082,-4.19481,8.90982,6.39547,4.89779,0.0
-7.62842,-2.10358,2.70401,-1.61693,6.06576,-3.53032,8.6845,5.82672,4.97619,0.0
-6.77851,-2.38023,2.21734,-1.68485,5.31527,-3.18062,8.47108,5.21647,5.47945,0.0
-5.94659,-2.87885,2.34695,-2.23074,4.56153,-3.53655,8.29766,5.09957,5.98006,0.0
-5.3449,-3.11149,2.31826,-2.90726,3.85085,-3.15929,8.54122,5.36948,5.28627,0.0
-5.18411,-3.07237,2.58995,-3.48759,3.6249,-3.44011,8.07563,4.95884,4.78238,0.0
-5.2203,-2.84445,2.58863,-4.41656,4.3019,-4.00124,7.8057,5.76138,4.35015,0.0
-5.29642,-2.73038,2.54862,-4.47491,4.86189,-4.73981,7.76757,5.83787,4.31069,0.0
-5.21469,-2.80517,2.74254,-4.2079,5.80187,-4.81547,7.01138,5.42657,4.11254,0.0
-5.43661,-2.87795,2.89341,-4.33094,7.13485,-2.65366,6.92784,5.23945,3.84272,0.0
-6.37065,-3.05733,3.22641,-4.63255,6.93964,-3.82012,6.97252,5.99762,3.95424,0.0
-7.23044,-3.42699,3.56116,-4.38723,6.59526,-4.51153,7.2301,5.99724,3.80253,0.0
-8.08515,-3.83325,4.05007,-4.45799,6.93542,-4.35903,7.83606,5.46968,2.84727,0.0
-8.57533,-4.24579,4.15958,-4.68852,7.53781,-4.48133,7.86101,4.97874,2.50327,0.0
-9.38014,-4.69694,3.91812,-4.78702,7.75879,-5.25825,8.02667,4.45146,1.85222,0.0
-9.68111,-4.88363,3.99122,-5.40615,8.13489,-5.61918,8.6172,4.34669,0.276753,0.0
-10.2129,-4.83259,4.98375,-6.93884,8.9657,-5.99814,9.55334,4.65552,-1.0662,0.0
-10.9503,-4.29192,5.39424,-8.43659,10.3225,-6.53305,9.76812,4.47751,-2.68365,0.0
-12.68,-3.63252,5.48157,-9.50375,12.5084,-6.7531,9.97639,4.52956,-4.57273,0.0
-14.2948,-3.12509,5.64811,-10.0644,14.3855,-7.85354,9.96529,4.73362,-6.31064,0.0
-15.7928,-2.6934,5.93211,-10.8063,14.9018,-9.80471,9.20785,5.36008,-8.05883,0.0
-16.5677,-1.54641,6.22453,-12.2021,15.4276,-10.6836,8.98639,5.75155,-9.33698,0.0
-17.4125,-0.738282,6.74797,-12.7493,16.3669,-11.2386,8.99646,6.6339,-10.4615,0.0
-17.8878,0.405701,6.96792,-13.0384,17.4164,-12.0991,7.99489,6.45826,-11.4354,0.0
-17.4582,1.42853,7.16334,-12.7108,18.0892,-12.6762,6.92019,5.97837,-12.2924,0.0
-15.8534,1.64793,7.64849,-11.5264,18.2743,-12.5779,6.48238,6.25479,-13.2633,0.0
-13.5979,2.28105,8.29594,-10.5323,17.2935,-12.3631,6.02385,6.5646,-13.6559,0.0
-11.5313,3.10498,8.90142,-9.28607,15.6776,-11.2898,6.45353,6.63279,-13.0344,0.0
-9.5079,4.11723,9.31319,-7.34879,13.9189,-8.73213,6.72353,6.47668,-12.722,0.0
-7.19419,4.36668,9.53944,-4.93253,11.9667,-6.70724,6.05218,4.38882,-12.2528,0.0
-5.18706,4.39016,9.68489,-3.351,9.14381,-5.77883,5.4784,2.21781,-10.9718,0.0
-3.53608,3.84416,9.48054,-2.54781,6.73357,-5.44668,4.22659,-0.794936,-8.38043,0.0
-2.42297,2.99705,9.07671,-1.77325,4.02455,-4.76558,3.07862,-3.31158,-6.17698,0.0
-1.62421,2.33862,8.28266,-1.48666,1.99613,-3.90194,1.00221,-3.79832,-5.42346,0.0
-0.779922,2.21206,7.60296,-0.780586,1.06651,-1.83392,7.73415,8.97052,-2.69381,0.0
-0.252217,2.77572,7.45501,0.393834,1.10758,-0.767307,12.4864,18.8988,0.689197,0.0
0.340541,3.98976,7.96013,1.80892,1.9234,-1.94467,2.76611,17.5564,5.15141,0.0
0.700406,5.46911,8.22995,3.3673,2.44437,-2.11174,11.1156,4.19925,11.803,0.0
1.00287,7.06722,8.99883,4.18064,3.00927,-1.71163,9.53409,5.52155,13.8238,0.0
0.894733,9.01067,9.83738,4.45863,4.21515,-1.43947,36.6387,5.41404,24.8689,0.0
0.631504,10.9067,9.48065,4.83841,4.84462,-2.82859,37.9391,-9.96971,-7.93918,0.0
-0.260693,12.7633,8.42187,5.71629,5.01281,-5.36881,20.2456,-18.6301,-21.8819,0.0
-1.87144,15.3071,7.19605,6.14927,5.14763,-7.49106,-7.28896,4.77538,-26.1685,0.0
-3.82641,19.2257,6.65321,5.92578,5.53458,-6.06369,13.9802,15.406,-14.4781,0.0
-5.94003,22.8405,5.95507,5.0279,7.02637,-3.06457,8.13095,2.53985,-5.92994,0.0
-8.10475,23.8013,5.41907,4.40328,8.50128,-2.42242,8.03523,6.55583,-4.79816,0.0
-9.50337,21.6056,4.75124,3.83058,10.7231,-2.67235,8.56974,6.87029,-1.86182,0.0
-10.1363,18.9142,4.48143,3.9201,13.5858,-2.48643,5.86183,4.34346,-1.87391,0.0
-11.5888,17.3305,4.31106,4.74023,16.1379,-3.33172,8.01082,7.12862,-0.518522,0.0
-12.6877,16.9217,4.29598,6.16776,18.1983,-4.20314,8.18857,5.11478,-0.465611,0.0
-13.0071,16.5789,3.86899,7.54093,19.0222,-4.21966,8.61173,5.84201,-1.5077,0.0
-12.6128,16.0022,3.37651,8.04905,18.6095,-3.74446,13.0372,6.74536,-3.93766,0.0
-11.6516,15.0425,2.97078,7.26092,17.6364,-3.25221,13.4959,5.44085,-7.28215,0.0
-10.4635,14.1189,2.56833,5.87288,16.8092,-3.73932,12.7267,5.07137,-7.94377,0.0
-9.54786,12.6273,2.04826,4.44285,17.1102,-4.46318,12.3511,5.85131,-5.52132,0.0
-9.05006,10.8353,1.52294,3.09688,17.4967,-3.63696,13.5348,6.95651,-2.27451,0.0
-8.85858,8.47666,0.994937,1.59427,16.3023,-2.80844,16.2521,7.26437,-0.203311,0.0
-8.48375,5.69852,0.394126,0.776282,14.9925,-2.00586,19.0492,5.99459,-0.282515,0.0
-7.58523,3.10432,-0.391899,0.416815,14.547,-1.23651,21.003,3.02465,-0.745712,0.0
-6.9213,1.54222,-0.530633,0.906483,13.641,-1.34085,21.5296,1.1953,-0.304473,0.0
-6.48036,0.134293,-0.596254,0.677191,11.6848,-1.18376,19.0751,0.19038,-0.902252,0.0
-6.01341,-1.239,-1.00799,0.491584,10.106,-0.872227,20.1388,-0.581413,-0.191941,0.0
-5.64912,-2.7981,-1.07425,0.34449,8.67771,-0.560482,24.2853,-3.36,-2.52473,0.0
-5.65337,-4.16257,-0.915757,0.177155,6.94379,-0.906366,25.2717,-6.48349,-6.70149,0.0
-5.84177,-4.84267,-0.762335,0.579129,4.87763,-0.00178566,20.9687,-5.08037,6.13459,0.0
-6.43088,-5.09922,-0.269958,0.116941,2.0469,-1.20131,9.9078,3.18659,-2.78998,0.0
-6.80369,-5.32226,-0.082353,-0.717691,-0.517247,-2.1374,8.03653,6.16449,-3.3679,0.0
-6.45769,-5.81575,0.193906,-1.42047,-3.37883,-2.45059,12.5327,7.74237,-4.7594,0.0
-6.1125,-6.23369,0.431411,-1.57113,-5.00483,-3.53222,13.5809,8.00183,-4.78885,0.0
-6.03424,-6.23361,0.509558,-1.18685,-5.1182,-3.40873,16.2259,6.46277,0.341649,0.0
-6.3363,-6.00397,0.465771,-0.831432,-4.32622,-3.05638,18.0883,7.26871,2.51676,0.0
-6.99727,-5.1607,0.837899,-0.610268,-2.70176,-2.16707,17.4392,-0.470199,2.21083,0.0
-7.79444,-3.89591,1.55295,-0.897125,-0.627021,-1.75308,17.8578,-6.52697,-0.332794,0.0
